name,address,phone,email,website,lat,lon,service_category,source
Qavvivik – Centre de santé familiale et communautaire inuit,"4468 Rue Wellington 203 204, Verdun, QC, Canada",438 380-4670,infoqavvivik@gmail.com,https://www.qavvivik.ca/fr,45.4594484,-73.5671707,community_service_211,reseaumtlnetwork_index
Inuit Siqinirmiut Quebecmi Ilaujut / Association des Inuit du Sud du Québec (AISQ),"1315 Rue Charlevoix, Montréal, QC, Canada",514 932-5267,sqiafrontdesk@gmail.com,https://www.facebook.com/SQIA2017,45.4794058,-73.57076,community_service_211,reseaumtlnetwork_index
Centre d’amitié autochtone de Montréal,"2001 Saint Laurent Boulevard, Montréal, QC, Canada",514 499-1854 poste 2221,info@nfcm.org,https://www.nfcm.org/fr/,45.5115213,-73.5668786,community_service_211,reseaumtlnetwork_index
Projet de travail de soutien autochtone (PTSA),Adresse confidentielle,n/a,,https://sites.google.com/iswp.info/home/ptsa?authuser=0,,,community_service_211,reseaumtlnetwork_index
Résilience Montréal,"4000 Saint-Catherine Street West, Westmount, QC, Canada",438 828-8995,resilience.montreal@gmail.com,https://www.resiliencemontreal.com/fr/accueil,45.4889389,-73.5845096,community_service_211,reseaumtlnetwork_index
Centre de santé autochtone de Tiohtià:ke,"2100 Avenue de Marlowe suite 236, Montréal, QC, Canada",514 482-8557,info@ihct.ca,https://www.ihct.ca/fr/,,,community_service_211,reseaumtlnetwork_index
Chez Doris,"1430 Rue Chomedey, Montréal, QC, Canada",514 937-2341,info@chezdoris.org,https://www.chezdoris.org/,45.4911722,-73.5833863,community_service_211,reseaumtlnetwork_index
Administration régionale Kativik,"Kuujjuaq, QC J0M 1C0, Canada",1 877 964-2961,info@krg.ca,https://www.krg.ca/fr-CA/,,,community_service_211,reseaumtlnetwork_index
Université de Montréal,"Université de Montréal – Pavillon 3200, rue Jean-Brillant, Rue Jean-Brillant, Montreal, Québec H3T 1N8, Canada",514 343-6111,futursetudiants@umontreal.ca,https://www.umontreal.ca,,,community_service_211,reseaumtlnetwork_index
Les Services Parajudiciaires Autochtones du Québec,"190 Rue Chef Max Gros-Louis, Québec, QC G0A 4V0, Canada",1 833 753-2095,info@spaq.qc.ca,https://www.spaq.qc.ca,,,community_service_211,reseaumtlnetwork_index
Projets Autochtones du Québec (PAQ),"338 Rue Saint-Antoine Est suite 402, Montréal, QC H2Y 1A3, Canada",514 879-3310,info@paqc.org,https://www.paqc.org/fr/accueil/,,,community_service_211,reseaumtlnetwork_index
Refuge Mitshuap Montréal,"2154 Sainte-Catherine Ouest, Montréal, QC, Canada",438 466-2325,mitshuapmontreal@gmail.com,https://www.facebook.com/profile.php?id=61553704607182,45.4906139,-73.5825467,community_service_211,reseaumtlnetwork_index
Montréal Autochtone,"3183 Rue Saint-Jacques, Montréal, QC, Canada",514 331-6587,info@nativemontreal.com,https://nativemontreal.com/fr/acceuil/,45.4834824,-73.5806155,community_service_211,reseaumtlnetwork_index
Université du Québec à Montréal (UQAM),"320 Rue Sainte-Catherine Est, Montréal, Québec H2X 1L7, Canada",514 987-3132,admission@uqam.ca,https://www.uqam.ca,45.5128735,-73.5610701,community_service_211,reseaumtlnetwork_index
Collège Ahuntsic,"9155 Rue Saint-Hubert, Montréal, QC H2M 1Y6, Canada",514 389-5921,information@collegeahuntsic.qc.ca,https://www.collegeahuntsic.qc.ca/,45.5515414,-73.642438,community_service_211,reseaumtlnetwork_index
Commission du Développement des Ressources Humaines des Premières Nations du Québec  (CDRHPNQ),Adresse confidentielle,450 638-4171,info@cdrhpnq.qc.ca,https://cdrhpnq-fnhrdcq.ca/,,,community_service_211,reseaumtlnetwork_index
Médecins du Monde,"6235 Rue Saint-Hubert, Montréal, Québec H2S 2L9, Canada",514 281-8998,info@medecinsdumonde.ca,https://medecinsdumonde.ca/,45.5350723,-73.6004143,community_service_211,reseaumtlnetwork_index
Regroupement Mamit Innuat,"1410 Rue Stanley suite 414, Montréal, Québec H3A 1P8, Canada",514 844-7090,sapmtl@mamit-innuat.com,http://www.mamit-innuat.com,,,community_service_211,reseaumtlnetwork_index
Mikana,Adresse confidentielle,n/a,info@mikana.ca,https://www.mikana.ca/,,,community_service_211,reseaumtlnetwork_index
L’Itinéraire,"2103 Rue Sainte-Catherine E, Montréal, QC H2K 2H9, Canada",514 597-0238,courrier@itineraire.ca,https://www.itineraire.ca/,45.634438,-73.5058776,community_service_211,reseaumtlnetwork_index
Plein Milieu,"4677 Saint Denis St, Montréal, Québec H2J 2L5, Canada",514 524-3661,info@pleinmilieu.qc.ca,https://pleinmilieu.qc.ca/,45.5251042,-73.5849749,community_service_211,reseaumtlnetwork_index
Centre des Femmes de Montréal,"3585 Rue Saint-Urbain, Montréal, Québec H2X 2N6, Canada",514 842-6652,ligneinfospl@centredesfemmesdemtl.org,https://centredesfemmesdemtl.org/fr/,45.5127243,-73.5728373,community_service_211,reseaumtlnetwork_index
