service_id,name,primary_category,serves_indigenous,serves_immigrant,gender_focus,age_groups
SVC_c64646adca,ACCUEIL BONNEAU - MAISON JOSEPH-VINCENT,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_a6cf37283a,ACCUEIL BONNEAU - TAX CLINIC,Medical,0,0,All,25-44; 45-64
SVC_0e4c7258b0,ACCUEIL BONNEAU - USED ITEMS RECOVERY,Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_57ddf0188d,ACCÈS BÉNÉVOLAT,Community & Advocacy,0,0,All,65+
SVC_b67fe0a537,ACCÈS BÉNÉVOLAT - ACCOMPANIMENT-TRANSPORTATION,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_6b167c71b1,ACCÈS CIBLE (SANTÉ MENTALE TRAVAIL),Medical,0,0,All,25-44; 45-64
SVC_6005d20483,ACCÈS-CIBLE JEUNESSE ROSEMONT (L'),Youth & Family,0,0,All,Under 25
SVC_53c0be8170,ACCÈS-TRAVAIL DE MONTRÉAL,Employment & Income,0,0,All,25-44; 45-64
SVC_5a51da7cdb,ACEF du Sud Ouest de Montréal,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_bf44030462,ACOUPHÈNES QUÉBEC,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_64012ec4fa,ACTE D'AMOUR !,Food,0,1,Female,Under 25; 25-44; 45-64; 65+
SVC_c63de081f3,ACTION AUTONOMIE - COLLECTIVE FOR MENTAL HEALTH ADVOCACY IN MONTRÉAL,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_f751bb2f8a,ACTION CENTRE,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_4973d58d2b,ACTION CENTRE-VILLE,Food,0,0,All,25-44; 45-64; 65+
SVC_0fc690c71c,ACTION DIGNITÉ DE SAINT-LÉONARD,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_6c9ea66d55,ACTION DIGNITÉ SAINT-HUBERT,Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_4d63a5c067,ACTION FEMMES ET HANDICAP,Disability,0,0,Female,Under 25; 25-44; 45-64; 65+
SVC_97b98c2335,ACTION JEUNESSE DE L'OUEST-DE-L'ÎLE,Youth & Family,0,0,All,Under 25; 25-44; 45-64
SVC_12fe4b4323,ACTION JEUNESSE DE L'OUEST-DE-L'ÎLE - WARMING CENTRE - DORVAL,Youth & Family,0,0,All,Under 25
SVC_20ef1cd17b,ACTION MAIN-D'OEUVRE,Employment & Income,0,0,All,25-44; 45-64
SVC_bb5b706c17,ACTION MÉDIATION,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_fff4d29872,ACTION POUR LA COMMUNAUTÉ-EST - TAX CLINIC,Medical,0,0,All,25-44; 45-64
SVC_50de63df2e,ACTION PRÉVENTION VERDUN,Medical,0,0,All,Under 25; 65+
SVC_6f99d6263a,ACTION RÉFUGIÉS MONTRÉAL,Immigration & Newcomers,0,1,Female,Under 25; 25-44; 45-64; 65+
SVC_cdd177a1ee,ACTION SANTÉ DE POINTE ST-CHARLES,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_af7b97c28e,ACTION SANTÉ TRAVESTI(E)S ET TRANSSEXUEL(LE)S DU QUÉBEC,Medical,0,1,All,25-44; 45-64
SVC_19c86c6374,ACTION SECOURS VIE D'ESPOIR,Food,0,0,All,Under 25
SVC_94279524d2,ACTION TRAVAIL DES FEMMES DU QUÉBEC,Legal,0,1,Female,25-44; 45-64
SVC_bc89a6b16c,ADAPTED MARTIAL ARTS DEVELOPEMENT ASSOCIATION,Legal,0,0,All,Under 25
SVC_1252e91cbf,ADAPTÉ,Disability,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_9be9a75512,ADDICTION OUTREACH PROGRAM,Medical,0,0,All,Under 25
SVC_b3cc631a34,ADHARA,Shelter,0,0,Female,Under 25; 25-44; 45-64
SVC_9b785d53a9,ADMI - MONTRÉAL,Youth & Family,0,0,All,Under 25
SVC_29c9dc3c7a,ADRIANNA ESPACE COLLECTIF,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_c73acc79dd,ADULT CHILDREN OF ALCOHOLICS - MONTRÉAL,Youth & Family,0,0,All,Under 25; 25-44; 45-64
SVC_41c45a8b98,ADULT LEARNLINE,Translation,0,0,All,Under 25; 25-44; 45-64
SVC_0c784d086c,ADVENTURERS ASSOCIATION OF BADEN-POWELL,Education & Literacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_684db54b76,AFGHAN WOMEN'S CENTRE OF MONTREAL,Gender & LGBTQ+,0,1,Female,Under 25; 25-44; 45-64; 65+
SVC_43645a41f7,AFRIQUE AU FÉMININ,Food,0,1,Female,Under 25; 25-44; 45-64
SVC_b80781bba5,AGENCE OMETZ,Immigration & Newcomers,0,1,All,Under 25; 25-44; 45-64
SVC_2e5abdc43c,AGENCE POUR LE DÉVELOPPEMENT DURABLE DE MONTRÉAL-EST CENTRE-NORD,Food,0,0,All,Under 25
SVC_5354d972bd,AGIR EN AMONT,Shelter,0,0,Male,Under 25; 25-44; 45-64
SVC_4f1f154b88,AGRESSIONS À CARACTÈRE SEXUEL,Legal,0,0,Female,25-44; 45-64
SVC_6f6fde5b14,AHUNTSIC-CARTIERVILLE - BORROUGH,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_1fa595be6d,AHUNTSIC-MONTRÉAL-NORD FACILITIES USERS COMMITTEE,Legal,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_0132cdd9c0,AIDE AUX PERSONNES OBÈSES HANDICAPÉES DU QUÉBEC,Disability,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_f799088713,AIDE AUX TRANS DU QUÉBEC,Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_800d53f068,AIDE AUX VILLAGEOIS DU VILLAGE OLYMPIQUE,Food,0,0,All,25-44; 45-64; 65+
SVC_a8ed27f609,AIDS COMMUNITY CARE MONTREAL,Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_4ec111023c,AIGLE BIENFAISANT,Food,0,0,All,25-44; 45-64
SVC_df9763db4f,AIM CROIT,Employment & Income,0,0,All,25-44; 45-64
SVC_9a46a7ecd9,AINÉS DE LASALLE (LES),Recreation & Culture,0,0,All,65+
SVC_4da3533605,AIRE OUVERTE - BIBLIOTHÈQUE RIVIÈRES-DES-PRAIRIES,Education & Literacy,0,0,All,Under 25; 25-44; 45-64
SVC_f01c0f969c,AIRE OUVERTE - CARREFOUR JEUNESSE EMPLOI DE RIVIÈRES-DES-PRAIRIES,Employment & Income,0,0,All,Under 25; 25-44; 45-64
SVC_92cca02820,AIRE OUVERTE - CENTRE COMMUNAUTAIRE ROUSSIN,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_b42b8f8768,AIRE OUVERTE AHUNTSIC-SAURIOL,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_4c689a6f2b,AIRE OUVERTE DE CÔTE-DES-NEIGES,Medical,0,0,All,Under 25; 65+
SVC_8004d4ed2b,AIRE OUVERTE DE KIRKLAND,Medical,0,0,All,Under 25; 25-44; 45-64
SVC_a794111ab9,AIRE OUVERTE DE L'EST DE MONTRÉAL,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_402f122562,AIRE OUVERTE DE L'OUEST-DE-L'ÎLE - CARREFOUR JEUNESSE EMPLOI,Employment & Income,0,0,All,Under 25; 25-44; 45-64
SVC_8bced40254,AIRE OUVERTE DE L'OUEST-DE-L'ÎLE - YMCA,Medical,0,0,All,Under 25; 25-44; 45-64
SVC_9b8cd6148d,AIRE OUVERTE DE LA PETITE-PATRIE,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_00c9b5e8ae,AIRE OUVERTE DE LACHINE - CARREFOUR JEUNESSE EMPLOI,Employment & Income,0,0,All,Under 25; 25-44; 45-64
SVC_93923644cd,AIRE OUVERTE DE LASALLE,Medical,0,0,All,Under 25; 25-44; 45-64
SVC_75cbd04863,AIRE OUVERTE DE SAINT-LAURENT,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_68c81d2dd1,AIRE OUVERTE DE VILLERAY,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_3a9a43843c,AIRE OUVERTE DU MÉTRO-BERRI,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_1788d103ce,AIRE OUVERTE DU SUD-OUEST-VERDUN ET CENTRE-SUD DE L'ÎLE DE MONTRÉAL,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_b0fbde1417,AIRE OUVERTE MONTRÉAL-NORD,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_5a3f154085,AIRE OUVERTE MONTRÉAL-NORD-LACORDAIRE,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_7e2c998f5c,AIRE OUVERTE MÉTRO LIONEL-GROULX,Shelter,0,0,All,Under 25; 25-44; 45-64
SVC_bde7c92f5d,AIRE OUVERTE SAURIOL,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_5865599649,AL-ANON AND ALATEEN FAMILY GROUPS - MONTREAL,Youth & Family,0,0,All,Under 25
SVC_06fec0f4e0,ALBATROS-MONTRÉAL,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_95a498db31,ALCOHOLICS ANONYMOUS,Translation,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_2716a8cb98,ALCOHOLICS ANONYMOUS - AREA,Disability,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_604db226ed,ALGERIAN CULTURAL CENTER,Medical,0,1,All,Under 25; 25-44; 45-64
SVC_38b28600a2,"ALIMA, PERINATAL SOCIAL NUTRITION CENTRE",Food,0,0,Female,Under 25; 25-44; 45-64
SVC_9d8d536274,ALIMENTER SAINT-LÉONARD,Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_bd6f16381b,ALLAN MEMORIAL INSTITUTE,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_44f7aadf90,ALLERGY QUEBEC,Youth & Family,0,0,All,Under 25
SVC_8b168c9fa2,ALLIANCE CHORALE DU QUÉBEC,Youth & Family,0,0,All,Under 25
SVC_bde7a519d5,ALLIANCE CULTURELLE,Education & Literacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_599c4e0dfd,ALLIANCE DE COMMERCES MEXICAINS À MONTRÉAL,Food,0,1,All,25-44; 45-64
SVC_3d8240d870,ALLIANCE POUR L'ACCUEIL ET L'INTÉGRATION DES IMMIGRANT-ES,Immigration & Newcomers,0,1,All,25-44; 45-64
SVC_75651eaba6,ALLIANCE POUR L'ACCUEIL ET L'INTÉGRATION DES IMMIGRANT-ES - TAX CLINIC,Medical,0,1,All,25-44; 45-64
SVC_1eb98af9bc,ALLOPROF,Youth & Family,0,0,All,Under 25
SVC_6e490fb5c3,ALLÉE ROBERT (L'),Recreation & Culture,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_77baeb4f4d,ALMAGE SENIOR COMMUNITY CENTRE - 50 PLUS CENTRE,Seniors,0,0,All,65+
SVC_4ffb47e4fe,ALMAGE SENIOR COMMUNITY CENTRE - 50 PLUS CENTRE - MONTRÉAL-NORD,Seniors,0,0,All,65+
SVC_f6506d6d02,ALMAGE SENIOR COMMUNITY CENTRE - 50 PLUS CENTRE - ROSEMONT,Seniors,0,0,All,65+
SVC_2afec87d6f,ALTERGO ASSOCITION,Recreation & Culture,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_c9aa3cc3f9,ALTERHÉROS,Youth & Family,0,0,All,Under 25
SVC_86c28b4e4b,"ALTERNATIVE (L'), CENTRE DE JOUR EN SANTÉ MENTALE",Medical,0,0,All,25-44; 45-64
SVC_be21de6934,ALTERNATIVE NAISSANCE,Legal,0,0,All,Under 25
SVC_beb8106bfc,ALTERNATIVES COMMUNAUTAIRES D'HABITATION ET D'INTERVENTION DE MILIEU,Shelter,0,0,All,Under 25; 65+
SVC_2759290078,ALZHEIMER GROUPE,Medical,0,0,All,Under 25
SVC_7e94470086,ALZHEIMER SOCIETY OF MONTRÉAL,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_d77d1fdbb5,AMAL-CENTER FOR WOMEN,Medical,0,1,Female,Under 25; 25-44; 45-64
SVC_400b4ad92c,AMALGAME MONTRÉAL,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_882d950228,AMCAL FAMILY SERVICES,Youth & Family,0,0,All,Under 25; 25-44; 45-64
SVC_97baf4355a,AMCAL FAMILY SERVICES - RESIDENTIAL PROGRAM,Youth & Family,0,0,All,Under 25
SVC_35c882007d,AMI-QUÉBEC - ALLIES IN MENTAL HEALTH,Medical,0,0,All,Under 25; 65+
SVC_c2950edae3,AMICALE DES DIABÉTIQUES,Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_d083282e57,AMIS DE L'EST POUR LA DÉFICIENCE INTELLECTUELLE (LES),Disability,0,0,All,Under 25
SVC_b259eb5370,AMIS DU MONDE,Medical,0,0,All,Under 25
SVC_a29d4bb6b6,AMITIÉ SOLEIL,Food,0,1,Female,Under 25
SVC_5374ff28c3,AMNESTY INTERNATIONAL - FRENCH CANADIAN SECTION,Legal,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_72b336cfb5,AMOUR EN ACTION (L'),Shelter,0,0,All,25-44; 45-64
SVC_cf644b300b,"AMOUR EN ACTION (L') - UN TOIT, UNE SÉCURITÉ",Shelter,0,0,All,65+
SVC_2fc6b63e4f,AMYOTROPHIC LATERAL SCLEROSIS SOCIETY OF QUÉBEC,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_3e764caf4a,AMÉRICAIN,Shelter,0,1,All,Under 25; 25-44; 45-64
SVC_b73583c5ee,ANCRE DES JEUNES (L'),Youth & Family,0,0,All,Under 25; 25-44; 45-64
SVC_c1147068c5,ANDY'S HOUSE TREATMENT CENTRE,Medical,0,0,All,Under 25
SVC_0b60b08f48,ANEB - ANOREXIA AND BULIMIA QUÉBEC,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_56c157bba6,ANGES DE L'ESPOIR ACI (LES),Medical,0,1,All,25-44; 45-64
SVC_91affc8dab,ANIMAL RESCUE NETWORK,Shelter,0,1,All,Under 25
SVC_e5fb33071a,ANJOU - ARRONDISSEMENT - ATELIERS-SOLEIL (LES),Youth & Family,0,0,All,Under 25
SVC_7056c9ce22,ANJOU - BOROUGH,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_2d5646238d,ANNEXE (L'),Disability,0,0,All,25-44; 45-64
SVC_ed01e2e0b0,ANNEXE ROSALIE-JETTÉ (L'),Shelter,0,0,Female,Under 25; 25-44; 45-64
SVC_643f5e8ae8,ANONYME (L'),Shelter,0,0,All,Under 25
SVC_3dc7cee1bb,ANONYME (L') - SUPERVISED INJECTION SERVICE,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_d76aaa318f,ANTRE-JEUNES DE MERCIER-EST (L'),Youth & Family,0,0,All,Under 25
SVC_4a76b297c7,ANXIEUX (LA),Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_d8214c181a,APPART MERCIER-OUEST (L'),Shelter,0,0,All,65+
SVC_54996a8f93,APPARTEMENT SUPERVISÉ POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION ASPIRE 2,Youth & Family,0,0,All,Under 25
SVC_053c576a81,APPARTEMENT SUPERVISÉ POUR LES JEUNES EN DIFFICULTÉ D’ADAPTATION ASPIRE,Youth & Family,0,0,All,Under 25
SVC_c860b24921,APPARTEMENTS DU VIEUX-PORT (LES),Shelter,0,0,All,65+
SVC_cd4a63ba17,APPARTENANCES (LES),Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_56bdcee92e,APPROCHE SÉCURISANTE DES POLYTOXICOMANES ANONYMES,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_c2313c7864,APPUI PROCHES AIDANTS,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_bcbafce95a,ARBORESCENCE,Medical,0,0,All,Under 25; 65+
SVC_0038fbaed7,ARCG - AÎNÉS ET RETRAITÉS DE LA COMMUNAUTÉ GAIE,Seniors,0,0,All,65+
SVC_1c3fbc8ca2,ARCHDIOCESE OF MONTRÉAL,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_472963ce53,ARCHE-MONTRÉAL (L'),Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_6076167a1c,ARCHIPEL DE L'AVENIR (L'),Shelter,0,0,All,Under 25
SVC_c25b5de706,ARRIMAGE (L'),Medical,0,0,All,25-44; 45-64
SVC_9617d31950,ARRÊT-SOURCE (L') - HÉBERGEMENT COLLECTIF,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_bf94aecac4,ARRÊT-SOURCE (L') - SECOND-STAGE APARTMENTS,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_2e09e1b9a1,ART-RIVÉ (L') - CENTRE DE JOUR DE RIVIÈRE-DES-PRAIRIES,Education & Literacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_3afc5b3520,ARTHRITIS SOCIETY CANADA,Youth & Family,0,0,All,Under 25
SVC_d22298aae7,ARTHRITIS WEST ISLAND SELF-HELP ASSOCIATION OF MONTRÉAL,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_454d50d83d,ARTOTHÈQUE (L'),Education & Literacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_2c22dbe223,ARTS EN MOUVEMENT QUÉBEC,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_1254827072,ARTÈRE DE L'EST (L'),Shelter,0,0,All,Under 25
SVC_05f9d426bb,ASSEMBLÉE CHRÉTIENNE ÉVANGÉLIQUE LE REFUGE DE PAIX - TAX CLINIC,Shelter,0,0,All,25-44; 45-64
SVC_03d42a4254,ASSISTANCE AUX FEMMES DE MONTRÉAL,Shelter,0,0,Female,Under 25
SVC_50744a785f,ASSISTANCE HUMANITAIRE ET COMMUNAUTAIRE MULTIFORME,Medical,0,1,All,25-44; 45-64
SVC_6641f1a9be,ASSISTANCE TO DISASTER VICTIMS,Food,0,0,All,Under 25
SVC_be00067688,ASSOCIALEX,Legal,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_22b9ce7541,ASSOCIATION ALERTE PROVIDENCE,Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_0ad060c0d0,ASSOCIATION AU FIL DU TEMPS D'ANJOU,Recreation & Culture,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_ece8e77022,ASSOCIATION BÉGAIEMENT COMMUNICATION,Medical,0,0,All,25-44; 45-64
SVC_ac1fe2861b,ASSOCIATION BÉNÉVOLE POINTE-AUX-TREMBLES - MONTRÉAL-EST,Community & Advocacy,0,0,All,65+
SVC_67581d63ae,ASSOCIATION CANADIENNE DE SOCCER DE RUE,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_3741d1e2bf,ASSOCIATION CANADIENNE DES CHRÉTIENS D'ORIGINE HAÏTIENNE DE MONTRÉAL,Food,0,0,All,Under 25; 25-44; 45-64
SVC_0bb7ffeabf,ASSOCIATION CANADO-PÉRUVIENNE - TAX CLINIC,Medical,0,0,All,25-44; 45-64
SVC_93969912d9,ASSOCIATION CIGOGNE,Food,0,0,Female,Under 25; 25-44; 45-64
SVC_6d284a2b21,ASSOCIATION CIGOGNE - TAX CLINIC,Medical,0,0,All,Under 25; 25-44; 45-64
SVC_674831c5e6,ASSOCIATION COOPÉRATIVE D'ÉCONOMIE FAMILIALE - EST DE MONTRÉAL,Medical,0,0,All,25-44; 45-64
SVC_d272ad7bf8,ASSOCIATION COOPÉRATIVE D'ÉCONOMIE FAMILIALE - NORD DE MONTRÉAL,Medical,0,0,All,25-44; 45-64
SVC_523a19c49a,ASSOCIATION COOPÉRATIVE D'ÉCONOMIE FAMILIALE - SUD-OUEST DE MONTRÉAL,Legal,0,0,All,Under 25; 25-44; 45-64
SVC_ef29b94f8e,ASSOCIATION D'AIDE ET DE LOISIRS POUR PERSONNES À AUTONOMIE RÉDUITE,Recreation & Culture,0,0,All,65+
SVC_e48227c8e4,ASSOCIATION D'ENTRAIDE DES PERSONNES HANDICAPÉES PHYSIQUES DE MONTRÉAL,Disability,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_a05179c148,ASSOCIATION D'ENTRAIDE LE CHAÎNON,Shelter,0,0,All,25-44; 45-64
SVC_d06362e110,ASSOCIATION D'ENTRAIDE LE CHAÎNON - MAGASIN DU CHAÎNON (LE) - MAGASIN PLATEAU,Material Aid,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_1532aed465,ASSOCIATION D'ENTRAIDE LE CHAÎNON - MAISON STE-MARIE,Shelter,0,0,Female,Under 25; 25-44; 45-64; 65+
SVC_b43fb7561f,ASSOCIATION D'ENTRAIDE LE CHAÎNON - MAISON YVONNE-MAISONNEUVE,Shelter,0,0,Female,Under 25; 25-44; 45-64; 65+
SVC_52697226cc,ASSOCIATION D'ENTRAIDE LE CHAÎNON - TRANSITIONAL HOUSING,Shelter,0,0,Female,Under 25; 25-44; 45-64; 65+
SVC_685ffd08d1,ASSOCIATION D'ENTRAIDE LE CHAÎNON - TRANSITIONAL HOUSING - SHORT TERM UNIT,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_0f76ba623b,ASSOCIATION D'ORTHOPÉDIE DU QUÉBEC,Legal,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_6ea494764f,ASSOCIATION DE LA FIBROMYALGIE - RÉGION ÎLE DE MONTRÉAL,Medical,0,0,All,Under 25
SVC_7285129ee1,ASSOCIATION DE PARENTS DE MONT-ROYAL,Youth & Family,0,0,All,Under 25
SVC_958a8676dc,ASSOCIATION DE PLANIFICATION FISCALE ET FINANCIÈRE,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_7823812e22,ASSOCIATION DES ALLERGOLOGUES ET IMMUNOLOGUES DU QUÉBEC,Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_3823848a1c,ASSOCIATION DES ART-THÉRAPEUTES DU QUÉBEC,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_660e7e9fa1,ASSOCIATION DES AÎNÉS ACTIFS DU SUD-OUEST,Seniors,0,0,All,65+
SVC_a1115a0cf8,ASSOCIATION DES CAMPS DU QUÉBEC,Youth & Family,0,0,All,Under 25
SVC_73d83351f3,ASSOCIATION DES CHIROPRATICIENS DU QUÉBEC,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_c21718f3ec,ASSOCIATION DES COLLÈGES PRIVÉS DU QUÉBEC,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_122fb3e349,ASSOCIATION DES CONSOMMATEURS POUR LA QUALITÉ DANS LA CONSTRUCTION,Legal,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_efe14a9da2,ASSOCIATION DES DENTUROLOGISTES DU QUÉBEC,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_51402bdfbb,ASSOCIATION DES FEMMES VIETNAMIENNES DU CANADA - RÉGION DE MONTRÉAL,Legal,0,0,Female,Under 25; 25-44; 45-64; 65+
SVC_5b6142503c,ASSOCIATION DES GARDERIES PRIVÉES DU QUÉBEC,Youth & Family,0,0,All,Under 25
SVC_f3c7d331c5,ASSOCIATION DES GROUPES DE RESSOURCES TECHNIQUES DU QUÉBEC,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_4776fa42c0,ASSOCIATION DES HABITANTS ET DES LOCATAIRES DE SAINT-MICHEL,Food,0,1,All,Under 25; 65+
SVC_179d781501,ASSOCIATION DES HALTES-GARDERIES COMMUNAUTAIRES DU QUÉBEC,Youth & Family,0,0,All,Under 25
SVC_768f8b9668,ASSOCIATION DES INTERVENANTS EN DÉPENDANCE DU QUÉBEC,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_7193241ac3,ASSOCIATION DES LOCATAIRES DE VILLERAY,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_fa70baefe8,ASSOCIATION DES MÉDECINS OPHTALMOLOGISTES DU QUÉBEC,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_56b74c32d0,ASSOCIATION DES NEUROLOGUES DU QUÉBEC,Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_3e3d640e44,ASSOCIATION DES NUTRITIONNISTES CLINICIENS DU QUÉBEC,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
