service_id,name,primary_category,service_categories,address,latitude,longitude,mappable,geocode_precision,area_id,borough_name,phone,website,email,hours,services,sources,legacy_center_id,serves_indigenous,serves_immigrant,gender_focus,age_groups
SVC_4973d58d2b,ACTION CENTRE-VILLE,Food,Food; Medical; Employment & Income; Seniors; Recreation & Culture,"105 Ontario Street East, Suite 201, Ville-Marie, Montréal, QC, H2X 1G9",45.512617,-73.566553,1,exact,,,514 878-0847,www.acv-montreal.com,info@acv-montreal.com,"Monday to Friday 9h00 to 16h00, community meal: 11h45 to 12h45, foot care: first Wednesday of the month","* Information.* Workshops, recreation, courses and outings.* Community meals.* Meal delivery.* Foot care.* Community intervention: initiative de travail de milieu auprès des aînés en situation de vulnérabilité (ITMAV).* Tax clinic.",211,,0,0,All,25-44; 45-64; 65+
SVC_0fc690c71c,ACTION DIGNITÉ DE SAINT-LÉONARD,Shelter,Shelter; Legal,"9089A Viau Boulevard, Saint-Léonard, Montréal, QC, H1R 2V6",45.588358,-73.613242,1,exact,,,514 251-2874,,info@addsl.org,"by appointment, Monday to Thursday 9h30 to 16h30","Housing committee seeking to improve tenants' living conditions.* Collective tenant's rights defence.* Individual information by phone and appointment.* Information workshops and public meetings.* Housing right public education, promotion and mobilization activities.* Social and community housing promotional activities.* Implementation of social and community housing (co-ops and housing NPOs).",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_6c9ea66d55,ACTION DIGNITÉ SAINT-HUBERT,Food,Food; Disability,Confidential Address,,,0,,,,450 800-6113,www.actiondignitesainthubert.ca,,,"* Gift certificates distribution for Christmas.* Christmas baskets delivery for people living alone who cannot move around because of age, a disability or illness.",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_4d63a5c067,ACTION FEMMES ET HANDICAP,Disability,Legal; Disability; Community & Advocacy,"469 Jean-Talon Street West, Suite 101, Villeray—Saint-Michel—Parc-Extension, Montréal, QC, H3N 1R4",45.528994,-73.623396,1,approximate,A001,Villeray-Saint-Michel-Parc-Extension,514 218-6368,actionfh.ca/en,coordo@actionfh.ca,by appointment,"* Discussion forum, support and mutual aid group.* Collective actions.* Popular education workshops.* Information and referral.* Promotion and defense of rights and interests.",211,,0,0,Female,Under 25; 25-44; 45-64; 65+
SVC_97b98c2335,ACTION JEUNESSE DE L'OUEST-DE-L'ÎLE,Youth & Family,Shelter; Food; Medical; Employment & Income; Youth & Family; Education & Literacy; Recreation & Culture,"15632 Gouin Boulevard West, L'Île-Bizard—Sainte-Geneviève, Montréal, QC, H9H 1C4",45.482867,-73.867637,1,exact,,,514 675-4450,www.ajoi.info/en,adjoint@ajoi.info,Tuesday to Saturday 12h00 to 24h00,"Street and outreach work.* Welcoming, listening, support, assistance and referral.* Guidance and accompaniment to resources: housing, addiction treatment, food bank, methadone program, etc.* First aid.* Bus ticket donations.* Assistance with mediation between peers and within families.* Accompaniment to job search assistance resources.* Housing search assistance.* Condom distribution and needle exchange.* Naxolone distribution.* Distribution of fentanyl test strips.* Outreach cultural and sports animation work for youth at risk.* Criminality and criminal gangs recruitment prevention.* Sexual health, drug addictions, homelessness and violence prevention services.* Workshops, information and awareness in schools.",211,,0,0,All,Under 25; 25-44; 45-64
SVC_12fe4b4323,ACTION JEUNESSE DE L'OUEST-DE-L'ÎLE - WARMING CENTRE - DORVAL,Youth & Family,Youth & Family; Material Aid,"825 Montréal-Toronto Boulevard, Dorval, Montréal, QC, H9S 1A2",45.448494,-73.743204,1,exact,,,514 675-4450,www.ajoi.info,information@ajoi.info,"7 days, 16h00 to 8h00","Heated or air-conditioned indoor space, depending on the season.* Clean restroom accessible at all times.* Chairs and tables to rest.* Snacks and hot or cold beverages.* Clothing, shoes and basic supplies available on request.* Personalized accompaniment: listening, support, referral, information.",211,,0,0,All,Under 25
SVC_20ef1cd17b,ACTION MAIN-D'OEUVRE,Employment & Income,Employment & Income,"3320 Rosemont Boulevard, Rosemont—La Petite-Patrie, Montréal, QC, H1X 1K3",45.553728,-73.579541,1,exact,,,514 721-4941,www.actionmaindoeuvre.ca/en,info@actionmaindoeuvre.ca,"Monday, Tuesday, Thursday and Friday 8h30 to 16h30, Wednesday 8h30 to 20h30","* Individual counselling and employability development.* Job search assistance.* Interview preparation, introduction with employers, if required, and adjustment of the work environment, if necessary.* Job retention assistance.* Negotiation of compensatory measures of financial assistance to employers, if necessary.* Referral to adapted companies.",211,,0,0,All,25-44; 45-64
SVC_bb5b706c17,ACTION MÉDIATION,Medical,Medical,"533 Ontario Street East, Suite 200, Ville-Marie, Montréal, QC, H2L 1N8",45.517742,-73.564525,1,approximate,,,514 312-7344,sds.social/mediation-sociale/,info@courtier.social,,"Psychosocial intervention program in various public spaces and semi-private spaces.* Ensures optimal cohabitation of residents, merchants and employees of the visited locations.* Accompaniment and assistance in reinsertion.* Referrals to appropriate resources.* Daily online intervention reports and assistance.",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_fff4d29872,ACTION POUR LA COMMUNAUTÉ-EST - TAX CLINIC,Medical,Medical; Employment & Income,Confidential Address,,,0,,,,514 400-1283,,impot.apc.est@proton.me,"by appointment, Monday to Friday 8h30 to 12h00 and 13h00 to 17h00, closed on public holidays",Year-round tax clinic by appointment.* Home service for people with restricted mobility.* Tax returns for the current year and up to 11 previous years.,211,,0,0,All,25-44; 45-64
SVC_50de63df2e,ACTION PRÉVENTION VERDUN,Medical,Medical; Seniors; Youth & Family; Community & Advocacy; Recreation & Culture,"4609 de Verdun Street, Suite 3, Verdun, Montréal, QC, H4G 1M6",45.503182,-73.569806,1,approximate,,,819 598-6950,www.actionpreventionverdun.org,info@actionpreventionverdun.org,La Station: Monday to Friday 9h00 to 20h00,"* Coordination, development, planning and management support of safety and well-being programs.* Preventive actions, information sessions and citizen involvement.* Representative of the Montreal Urban Safety Tandem program.* Community outreach work for vulnerable seniors 50 years old and over (ITMAV): phone listening, psychosocial support, referrals and friendly visits.* Free and confidential mediation between citizens or organizations.* La Station: Nun's Island intergenerational community centre, open admission for teenagers from 12 to 17 years old.* The Little Station Centre for Families: activities for children from 0 to 5 years old and their parents.* Camp de l'île: summer and spring break day camp for 4 to 12 years old.",211,,0,0,All,Under 25; 65+
SVC_6f99d6263a,ACTION RÉFUGIÉS MONTRÉAL,Immigration & Newcomers,Shelter; Legal; Immigration & Newcomers,"1439 Sainte-Catherine Street West, Suite 2, Ville-Marie, Montréal, QC, H3G 1S6",45.489314,-73.584512,1,approximate,,,514 935-7799,actionr.org,info@actionr.org,Monday to Friday 9h00 to 17h00,"Reception, support, awareness-raising, and advocacy for refugees and asylum seekers.* Information and support.* Sponsorship Program: connecting refugees with groups or individuals who wish to sponsor them.* Twinning Program: connecting refugee women with Montreal residents to create intercultural ties and facilitate integration.* Detention Program: weekly legal information visits for refugees detained at theLaval' Immigration Detention Centre.",211,,0,1,Female,Under 25; 25-44; 45-64; 65+
