area_id,service_category,nearest_service_distance_km,service_count_within_threshold,distance_component,availability_component,accessibility_score,accessibility_method,accessibility_basis,accessibility_version,accessibility_formula_id,formula_set_version,taxonomy_version,service_snapshot_id,service_snapshot_date,service_snapshot_total_rows,service_snapshot_mappable_rows
A001,Employment,0.45,6,82.08,67.32,74.7,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,Food Support,0.53,13,78.96,69.33,74.14,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,General Support,0.4,56,84.09,77.29,80.69,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,Health & Mental Health,0.48,16,80.99,61.13,71.06,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,Housing & Shelter,0.4,11,84.03,57.38,70.7,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,Legal Aid,0.89,3,64.31,43.62,53.97,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,Newcomer Support,2.94,0,0.0,0.0,0.0,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,Senior Support,1.68,2,32.7,44.21,38.45,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,Employment,1.72,8,31.33,76.02,53.67,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,Family Services,0.17,23,93.04,78.61,85.83,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,Food Support,0.17,25,93.04,85.59,89.31,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,General Support,0.15,113,93.88,90.54,92.21,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,Health & Mental Health,0.15,58,93.88,87.98,90.93,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,Housing & Shelter,0.31,24,87.64,74.33,80.98,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,Legal Aid,0.31,8,87.6,69.14,78.37,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,Newcomer Support,0.15,11,93.88,96.88,95.38,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A003,Senior Support,0.15,7,93.88,83.68,88.78,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,Employment,4.3,0,0.0,0.0,0.0,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,Family Services,0.11,12,95.67,63.44,79.56,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,Food Support,0.69,10,72.31,62.99,67.65,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,General Support,0.19,27,92.51,63.7,78.11,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,Health & Mental Health,0.64,16,74.31,61.13,67.72,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,Housing & Shelter,1.14,14,54.52,62.53,58.53,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,Legal Aid,0.67,3,73.3,43.62,58.46,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,Newcomer Support,1.02,2,59.2,42.83,51.02,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A004,Senior Support,0.49,3,80.39,55.79,68.09,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,Employment,0.77,4,69.28,55.68,62.48,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,Family Services,0.14,26,94.28,81.52,87.9,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,Food Support,0.77,18,69.28,77.35,73.31,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,General Support,0.34,43,86.52,72.34,79.43,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,Health & Mental Health,0.69,27,72.34,71.9,72.12,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,Housing & Shelter,0.77,31,69.31,80.03,74.67,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,Legal Aid,0.77,5,69.28,56.38,62.83,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,Newcomer Support,3.05,0,0.0,0.0,0.0,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A005,Senior Support,0.77,1,69.28,27.89,48.59,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,Employment,1.27,3,49.29,47.96,48.62,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,Family Services,0.67,15,73.32,68.58,70.95,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,Food Support,1.51,10,39.71,62.99,51.35,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,General Support,0.46,30,81.67,65.65,73.66,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,Health & Mental Health,1.14,13,54.36,56.94,55.65,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,Housing & Shelter,1.02,7,59.12,48.02,53.57,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,Legal Aid,1.75,1,30.19,21.81,26.0,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,Newcomer Support,1.75,5,30.19,69.86,50.02,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A006,Senior Support,1.75,1,30.19,27.89,29.04,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,Employment,0.82,5,67.26,61.99,64.62,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,Family Services,0.37,21,85.33,76.45,80.89,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,Food Support,0.26,23,89.6,83.49,86.54,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,General Support,0.74,62,70.24,79.2,74.72,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,Health & Mental Health,0.26,28,89.61,72.65,81.13,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,Housing & Shelter,0.82,31,67.35,80.03,73.69,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,Legal Aid,0.82,5,67.26,56.38,61.82,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,Newcomer Support,0.82,3,67.35,54.05,60.7,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A007,Senior Support,0.77,4,69.01,64.77,66.89,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,Employment,4.55,0,0.0,0.0,0.0,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,Family Services,0.54,4,78.41,39.81,59.11,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,Food Support,0.46,6,81.66,51.12,66.39,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,General Support,0.5,21,79.93,59.09,69.51,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,Health & Mental Health,1.37,7,45.27,44.87,45.07,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,Housing & Shelter,0.89,7,64.39,48.02,56.2,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,Legal Aid,3.84,0,0.0,0.0,0.0,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,Newcomer Support,3.71,0,0.0,0.0,0.0,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A008,Senior Support,1.66,2,33.44,44.21,38.83,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A009,Employment,1.48,8,40.98,76.02,58.5,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A009,Family Services,0.6,29,75.86,84.12,79.99,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A009,Food Support,0.23,22,90.62,82.37,86.5,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A009,General Support,0.19,113,92.27,90.54,91.41,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A009,Health & Mental Health,0.32,54,87.32,86.46,86.89,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A009,Housing & Shelter,0.84,28,66.49,77.75,72.12,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
