directory_id,org_name,primary_category,service_categories,address,latitude,longitude,mappable,geocode_precision,phone,website,email,coverage_area,hours,services,source_name,source_url,last_checked_date
DIR_379412626d,ACADEMOS CYBERMENTORAT,Youth & Family,Youth & Family; Education & Literacy; Community & Advocacy,"296 Saint-Paul Street West, Suite 400, Ville-Marie, Montréal, QC, H2Y 2A3",45.501414,-73.555939,1,exact,514 332-3006,academos.qc.ca,info@academos.qc.ca,Greater Montréal,Monday to Friday 9h00 to 17h00,Assistance for teens and young adults allowing them to explore trades and find a professional career.* Virtual mentoring by professionals or students with similar fields of interests.* Virtual discussion group.* School dropout prevention.* Online articles and videos offering advice and inspiration to help with career choice.* Directory of organizations and schools in order to familiarize with the job market.* Volunteering possibility through mentoring.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c968dbc726,ACCESS OPEN MINDS,Medical,Medical; Youth & Family; Indigenous,"6625 Lasalle Boulevard, Verdun, Montréal, QC, H4H 1R3",45.442463,-73.585497,1,exact,1 833 761-6131,accessopenminds.ca,access@douglas.mcgill.ca,Canada,,"Research and evaluation project to improve mental health care for youth.* Resources and research reports available online.* 16 participating service sites located in 6 provinces and 1 territory: culturally relevant mental health services, physical health and sexual health services, traditional Indigenous programming and support, other social services.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_d7288598dd,ACCESS TO INFORMATION AND PRIVACY,Government Services,Government Services,Confidential Address,,,0,,,www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy.html,,Canada,,Reception and processing of requests for access to information or personal information held by the federal government.* Online record of past access requests.* List of access to information and privacy coordinators by institution: www.tbs-sct.gc.ca/ap/atip-aiprp/coord-eng.asp,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_be1fa01354,ACCOMPAGNATEUR (L'),Shelter,Shelter; Medical; Youth & Family; Disability; Recreation & Culture,"5800 Saint-Denis Street, Suite 602, Rosemont—La Petite-Patrie, Montréal, QC, H2S 3L5",45.530341,-73.598665,1,approximate,514 382-0310,laccompagnateur.org,info@laccompagnateur.org,Province of Québec,,"Web platform for parents of people with disabilities to find resources.* Varied resources: education, housing, leisure, financial resources, health, services for families, transportation, etc.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_063af3b1fc,ACCOMPAGNEMENT-TRANSPORT,Other,Other,,,,0,,,,,,,,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_82134036f9,ACCOMPANIMENT-TRANSPORTATION,Medical,Medical; Community & Advocacy,"549 Jarry Street West, Villeray—Saint-Michel—Parc-Extension, Montréal, QC, H3N 1G1",45.537104,-73.625126,1,approximate,"1
514 271-7224",www.versvous.org,asklipios@hotmail.com,"Villeray-Saint-Michel-Parc-Extension, appointment location: Montréal island","7 days, 7h00 to 19h00, office: Monday to Friday 9h00 to 15h00",* Accompaniment and transportation to medical appointments and outings by volunteers.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_75a3442106,ACCORDAILLES (LES),Food,Food; Medical; Community & Advocacy,"465 Gilford Street, Suite 101, Le Plateau-Mont-Royal, Montréal, QC, H2J 1N5",45.503182,-73.569806,1,approximate,514 282-1553,accordailles.org,info@accordailles.org,Le Plateau-Mont-Royal,"office: Monday to Friday 8h00 to 16h00, community meal: Tuesday 12h00 to 15h00",* Friendly phone calls and visits.* Community meals.* Bingo.* Volunteer recruitment.* Accompaniment of shopping and medical appointment.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_f48a512be0,ACCORDAILLES (LES) - ACCOMPANIMENT,Medical,Medical; Community & Advocacy,"465 Gilford Street, Suite 101, Le Plateau-Mont-Royal, Montréal, QC, H2J 1N5",45.503182,-73.569806,1,approximate,514 282-1553,accordailles.org,info@accordailles.org,"Le Plateau-Mont-Royal, appointment location: CLSC Saint-Louis-du-Parc and Plateau-Mont- Royal, Le Plateau-Mont-Royal","office: Monday to Friday 8h00 to 16h00, accompaniment: Monday to Sunday 6h00 to 22h00 2941",* Accompaniment for medical appointments by volunteers.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c4b20c04e6,ACCORDAILLES (LES) - COOPÉRÉGIONS,Shelter,Shelter; Medical; Seniors; Community & Advocacy,"465 Gilford Street, Suite 101, Le Plateau-Mont-Royal, Montréal, QC, H2J 1N5",45.503182,-73.569806,1,approximate,514 282-1553,accordailles.org/cooperegions,info@accordailles.org,"Province of Québec, excluding Montréal Island",office: Monday to Friday 8h00 to 16h00,"Accompaniment of seniors who live outside of Montréal and who need to travel to Montréal to receive health care.* Help in planning the stay.* Help in finding affordable housing for the stay.* Accompaniment by a volunteer during the stay: welcome upon arrival, accompaniment to medical appointments, friendly visits, friendly calls, help with groceries.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_1e3a7f3d3d,ACCUEIL AUX IMMIGRANTS DE L'EST DE MONTRÉAL,Immigration & Newcomers,Shelter; Medical; Translation; Domestic Violence & Safety; Immigration & Newcomers; Employment & Income; Seniors; Youth & Family; Education & Literacy; Community & Advocacy; Recreation & Culture,"5960 Jean-Talon Street East, Suite 209, Saint-Léonard, Montréal, QC, H1S 1M2",45.585714,-73.579622,1,exact,514 723-4939,aiemont.com/en,info@aiemont.com,East of Montréal Island,"Monday to Thursday 8h30 to 16h30, Friday 8h30 to 16h00, daycare: Monday to Wednesday 8h30 to 12h15 and 12h45 to 16h30 and 18h00 to 21h00, Thursday and Friday 8h30 to 12h15 and 12h45 to 16h30, Saturday and Sunday 8h30 to 12h30","* Reception and integration of immigrants: individual meetings, needs assessment, referral service, interpretation and translation service, information sessions on the functioning of the host society.* Assistance in filling out forms.* Information and guidance for the change of status for international students and obtaining work permits.* Assistance in finding housing.* Psychosocial services.* Cultural transition assistance.* Objective Integration (OI) session.* Family: early learning and development activities, le Nid des Anges drop-in daycare and assistance with school registration.* Individual meetings with Intercultural Community Interventionists: ICI- Health and ICI-Youth.* Recreational, sports and cultural activities for seniors.* Ampèrâge: elder abuse prevention, telephone and friendly visits, matching with a volunteer.* Training in business start-up.* Francization.* Courses: English and computer.* Tax clinic.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_55dcbbbf76,ACCUEIL BONNEAU,Shelter,Shelter; Medical; Employment & Income; Material Aid,"427 de la Commune Street East, Ville-Marie, Montréal, QC, H2Y 1J4",45.50108,-73.568126,1,approximate,514 845-3906,www.accueilbonneau.com/en,info@accueilbonneau.com,Montréal Island,"meals: 7 days, 8h30 to 11h30, day centre: Monday to Friday 8h30 to 11h30, clothing depot: Tuesday and Thursday 8h30 to 11h30, barber: Thursday 8h30 to 11h30, barber and hairdressing service: Thursdays 8h30 to 11h00","Reception of individuals who are homeless or at risk of homelessness and day-to-day assistance with basic needs and in seeking a better quality of life and well-being.* Social reintegration.* Dining room.* Clothing depot.* Barber and hairdressing service.* Day centre: coffee, showers, art workshop, music studio, computers, etc.* Medium and long term housing.* Health: chiropractic care for residents and people in post- housing follow-up, optometry, denturology, dental care, medical and nursing care.* Regional Solidarity Trust: budget management assistance, bank account opening, check cashing, account payment, debts consolidation, etc.* Social Assistance and Support Program, socio-professional reintegration.* Compensatory work.* Tax clinic.* Distribution of new injection equipment to drug users (free service).",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_8a10630a4e,ACCUEIL BONNEAU - LE CHRISTIN,Shelter,Shelter,"330 Christin Street, Ville-Marie, Montréal, QC, H2X 1M4",45.511298,-73.565779,1,approximate,514 845-3906,www.accueilbonneau.com/en,info@accueilbonneau.com,Montréal Island,,* Long-term housing.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_a260af25e2,ACCUEIL BONNEAU - MAISON CLAIRE-MÉNARD,Shelter,Shelter,Confidential Address,,,0,,514 845-3906,www.accueilbonneau.com/en,soutien.hebergement@accueilbonneau.com,Montréal Island,,* Housing with an undetermined length of stay.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_295ce86bf3,ACCUEIL BONNEAU - MAISON EUGÉNIE-BERNIER,Shelter,Shelter,Confidential Address,,,0,,514 845-3906,www.accueilbonneau.com/en,soutien.hebergement@accueilbonneau.com,Montréal Island,,* Housing with an undetermined length of stay.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_0941a732bb,ACCUEIL BONNEAU - MAISON JOSEPH-VINCENT,Shelter,Shelter,Confidential Address,,,0,,514 845-3906,www.accueilbonneau.com/en,soutien.hebergement@accueilbonneau.com,Montréal Island,,* Long-term transitional housing.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c6e4e14392,ACCUEIL BONNEAU - TAX CLINIC,Medical,Medical; Employment & Income,"420 Saint-Paul Street East, Ville-Marie, Montréal, QC, H2Y 1H4",45.50108,-73.568126,1,approximate,514 845-3906,www.accueilbonneau.com/en,impots@accueilbonneau.com,Montréal Island,"tax return period: from 3 March 2025, Monday to Friday 8h30 to 11h30, rest of the year: January and February, Monday to Friday 9h00 to 12h00, March to December Monday to Friday 8h30 to 11h30",Year-round tax clinic.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_dd5c55e233,ACCUEIL BONNEAU - USED ITEMS RECOVERY,Food,Food; Material Aid,"427 de la Commune Street East, Ville-Marie, Montréal, QC, H2Y 1J4",45.50108,-73.568126,1,approximate,514 845-3906,www.accueilbonneau.com/en,gestionnaire.saa@accueilbonneau.com,Montréal Island,"donation reception: Monday to Friday 8h00 to 14h00, Saturday and Sunday 7h00 to 12h00, Go the garage door on the right side of the building","* On-site recovery of perishable and non-perishable food, clothes and books.* Most wanted items: winter boots, razors, belts, boxer shorts, jean pants, long-sleeved sweaters, hoodies, shoes, gloves and warm socks.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_1e1bda7196,ACCUEIL POUR IMMIGRANTS ET RÉFUGIÉS DU SUD-OUEST DE MONTRÉAL - CENTRE,Immigration & Newcomers,Immigration & Newcomers,,,,0,,,,,,,,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_76ce8e3f6e,ACCÈS BÉNÉVOLAT,Community & Advocacy,Seniors; Community & Advocacy,"2544 Rosemont Boulevard, Rosemont—La Petite-Patrie, Montréal, QC, H1Y 1K4",45.546967,-73.585533,1,exact,514 523-6599,www.accesbenevolat.org,info@accesbenevolat.org,"East of Saint-Laurent Boulevard: Pointe-aux-Trembles, Montréal-Est, Mercier-Hochelaga- Maisonneuve, Anjou, Saint-Léonard, Rosemont-La Petite-Patrie, Villeray, Saint-Michel, Le Plateau-Mont-Royal",Monday to Friday 9h00 to 17h00,"Promoting volunteerism and community initiatives.* Reception, training, referral and follow-up of volunteers.* Automated security calls service for seniors.* Services to organizations: needs analysis, recruitment assistance, volunteer selection and referral, volunteer management consultation and training.* Bonhomme à lunettes service point.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_18e1fac77d,ACCÈS BÉNÉVOLAT - ACCOMPANIMENT-TRANSPORTATION,Community & Advocacy,Medical; Community & Advocacy,"2544 Rosemont Boulevard, Rosemont—La Petite-Patrie, Montréal, QC, H1Y 1K4",45.546967,-73.585533,1,exact,514 523-6599,www.accesbenevolat.org,sylvie.brunet@accesbenevolat.org,"residence address: Pointe-aux-Trembles, Montréal-Est, Mercier-Hochelaga-Maisonneuve, Anjou, Saint-Léonard, Rosemont-La Petite-Patrie, Villeray, Saint-Michel, Le Plateau-Mont-Royal, appointment: Montréal Island",Monday to Friday 9h00 to 17h00,"* Accompaniment-transportation to medical appointments, with or without a car, by volunteers.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_660f154b59,ACCÈS CIBLE (SANTÉ MENTALE TRAVAIL),Medical,Medical; Employment & Income,"5650 D'Iberville Street, Suite 600, Rosemont—La Petite-Patrie, Montréal, QC, H2G 2B3",45.503182,-73.569806,1,approximate,514 525-8888,www.acces-cible.org,info@acces-cible-smt.qc.ca,Greater Montréal,Monday to Thursday 9h00 to 17h00,"Employability assistance and labor market integration.* Self-knowledge workshops, internship opportunities, job search and techniques.* Professional office automation update.* Job reintegration and retention.* Individual counselling and post-program follow-up.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_9c74fdba78,ACCÈS-CIBLE JEUNESSE ROSEMONT (L'),Youth & Family,Youth & Family; Education & Literacy; Recreation & Culture,"5365 1st Avenue, Rosemont—La Petite-Patrie, Montréal, QC, H1Y 2Z8",45.550747,-73.58229,1,approximate,514 723-6723,www.acjr.ca,intervenantacjr@hotmail.com,Rosemont and surrounding areas,"youth centre: Monday 15h30 to 19h00, Tuesday 15h30 to 20h30, Wednesday 15h30 to 21h00, Thursday 15h30 to 21h00, Friday 15h30 to 20h00, administration: Tuesday to Friday 13h30 to 16h00","Youth centre by and for young people.* Free recreational activities: sports, games.* Directed activities: improvisation workshops, thematic evenings, outings, etc.* Homework assistance.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_d722d3f4da,ACCÈS-TRAVAIL DE MONTRÉAL,Employment & Income,Employment & Income; Education & Literacy,"2030 Pie IX Boulevard, Suite 214, Mercier—Hochelaga-Maisonneuve, Montréal, QC, H1V 2C8",45.550225,-73.542641,1,approximate,514 259-4690,www.accestravail.qc.ca,reception@accestravail.qc.ca,Montreal Island,"Monday to Thursday 8h30 to 12h00 and 13h00 to 16h30, Friday by appointment only",* 3-week job search training following the club method.* Job search workshops.* Vocational and academic guidance.* Documentation room.* Access to Internet and to a phone.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_599b650853,ACOUPHÈNES QUÉBEC,Community & Advocacy,Community & Advocacy,"1405 Henri-Bourassa Boulevard West, Suite 100, Ahuntsic-Cartierville, Montréal, QC, H3M 3E6",45.538564,-73.658317,1,approximate,1 877 276-7772,acouphenesquebec.org,info@acouphenesquebec.org,Province of Québec,"Monday to Friday 8h30 to 16h30, support groups in the evening",* Helpline and information on tinnitus.* Support helpline.* Referral to regional professional resources.* Open mutual aid group every month.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_cec513a717,ACTE D'AMOUR !,Food,Food; Legal; Immigration & Newcomers; Seniors; Youth & Family; Education & Literacy; Material Aid; Recreation & Culture,"1111 Dr. Frederik-Philips Boulevard, 6th Floor, Saint-Laurent, Montréal, QC, H4M 2X6",45.496184,-73.701833,1,exact,514 419-3632,www.actedamour.ca,actedamour.ca@gmail.com,Province of Québec,"does not receive clients at the office, holiday period: closed from december 20 until early january","Seniors* Sending friendship and comfort cards and memory games by mail.* Friendly phone calls.* Percussion workshops.* Cooking workshops.Teens and young adults* Civic engagement and mentoring program.* Menstrual calendar club (education and awareness about menstruation).* Social, recreational, and sports activities.* Workshops: self-esteem, leadership, violence prevention.* Cooking workshops.Immigrant women* Support and guidance.* Workshops on combating violence against girls and women.* Workshops: capacity building and awareness-raising on the rights of immigrant women with precarious status.General Services* Black History Month: combating racism and raising awareness about the contributions of Black people to Québec and Canadian society.* Christmas food baskets for vulnerable women with children 16 years old and under.* Christmas reception.* School supplies for vulnerable women with children 16 years old and under.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_e5f5d0f5b8,ACTION AUTONOMIE - COLLECTIVE FOR MENTAL HEALTH ADVOCACY IN MONTRÉAL,Medical,Medical; Legal,"3958 Dandurand Street, 3rd floor, Rosemont—La Petite-Patrie, Montréal, QC, H1X 1P7",45.503182,-73.569806,1,approximate,514 525-5060,www.actionautonomie.qc.ca,lecollectif@actionautonomie.qc.ca,Montréal Island,"Monday to Friday, 9h00 to 12h00 and 13h00 to 17h00","* Helping relationship, support, accompaniment and referral.* Information on rights and recourses.* Advocacy of rights, awareness and training.* Representation and pressure to change certain practices that violate people's rights.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_bed64ffa25,ACTION CENTRE,Medical,Medical,"2169 Marcel-Laurin Boulevard, Saint-Laurent, Montréal, QC, H4R 1K4",45.519557,-73.701379,1,exact,514 366-6868,centreaction.org,info@centreaction.org,Montréal Island,Monday to Friday 8h30 to 16h30,"* Activity centre offering 21 workshops structured around 4 themes: education, art and creativity, health and well-being, community participation.* Weekly socio-cultural outings.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_8e2e7994ac,ACTION CENTRE-VILLE,Food,Food; Medical; Employment & Income; Seniors; Recreation & Culture,"105 Ontario Street East, Suite 201, Ville-Marie, Montréal, QC, H2X 1G9",45.512617,-73.566553,1,exact,514 878-0847,www.acv-montreal.com,info@acv-montreal.com,"Greater Montréal, meal delivery: between De la Visitation, Jeanne-Mance, Sherbrooke and De la Commune, ITMAV: Ville-Marie","Monday to Friday 9h00 to 16h00, community meal: 11h45 to 12h45, foot care: first Wednesday of the month","* Information.* Workshops, recreation, courses and outings.* Community meals.* Meal delivery.* Foot care.* Community intervention: initiative de travail de milieu auprès des aînés en situation de vulnérabilité (ITMAV).* Tax clinic.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_7f090c6e33,ACTION CENTRE-VILLE - INITIATIVE DE TRAVAIL DE MILIEU AUPRÈS DES AÎNÉS EN,Seniors,Seniors,,,,0,,,,,,,,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_f6f4108a5b,ACTION DIGNITÉ DE SAINT-LÉONARD,Shelter,Shelter; Legal,"9089A Viau Boulevard, Saint-Léonard, Montréal, QC, H1R 2V6",45.588358,-73.613242,1,exact,514 251-2874,,info@addsl.org,Saint-Léonard,"by appointment, Monday to Thursday 9h30 to 16h30","Housing committee seeking to improve tenants' living conditions.* Collective tenant's rights defence.* Individual information by phone and appointment.* Information workshops and public meetings.* Housing right public education, promotion and mobilization activities.* Social and community housing promotional activities.* Implementation of social and community housing (co-ops and housing NPOs).",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_798b260cf9,ACTION DIGNITÉ SAINT-HUBERT,Food,Food; Disability,Confidential Address,,,0,,450 800-6113,www.actiondignitesainthubert.ca,,Saint-Hubert,,"* Gift certificates distribution for Christmas.* Christmas baskets delivery for people living alone who cannot move around because of age, a disability or illness.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_f91ca35b65,ACTION FEMMES ET HANDICAP,Disability,Legal; Disability; Community & Advocacy,"469 Jean-Talon Street West, Suite 101, Villeray—Saint-Michel—Parc-Extension, Montréal, QC, H3N 1R4",45.528994,-73.623396,1,approximate,514 218-6368,actionfh.ca/en,coordo@actionfh.ca,Montréal Island,by appointment,"* Discussion forum, support and mutual aid group.* Collective actions.* Popular education workshops.* Information and referral.* Promotion and defense of rights and interests.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_515e79ae6e,ACTION JEUNESSE DE L'OUEST-DE-L'ÎLE,Youth & Family,Shelter; Food; Medical; Employment & Income; Youth & Family; Education & Literacy; Recreation & Culture,"15632 Gouin Boulevard West, L'Île-Bizard—Sainte-Geneviève, Montréal, QC, H9H 1C4",45.482867,-73.867637,1,exact,514 675-4450,www.ajoi.info/en,adjoint@ajoi.info,West Island,Tuesday to Saturday 12h00 to 24h00,"Street and outreach work.* Welcoming, listening, support, assistance and referral.* Guidance and accompaniment to resources: housing, addiction treatment, food bank, methadone program, etc.* First aid.* Bus ticket donations.* Assistance with mediation between peers and within families.* Accompaniment to job search assistance resources.* Housing search assistance.* Condom distribution and needle exchange.* Naxolone distribution.* Distribution of fentanyl test strips.* Outreach cultural and sports animation work for youth at risk.* Criminality and criminal gangs recruitment prevention.* Sexual health, drug addictions, homelessness and violence prevention services.* Workshops, information and awareness in schools.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_4605db5725,ACTION JEUNESSE DE L'OUEST-DE-L'ÎLE - WARMING CENTRE - DORVAL,Youth & Family,Youth & Family; Material Aid,"825 Montréal-Toronto Boulevard, Dorval, Montréal, QC, H9S 1A2",45.448494,-73.743204,1,exact,514 675-4450,www.ajoi.info,information@ajoi.info,Dorval,"7 days, 16h00 to 8h00","Heated or air-conditioned indoor space, depending on the season.* Clean restroom accessible at all times.* Chairs and tables to rest.* Snacks and hot or cold beverages.* Clothing, shoes and basic supplies available on request.* Personalized accompaniment: listening, support, referral, information.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_0135cf6de5,ACTION MAIN-D'OEUVRE,Employment & Income,Employment & Income,"3320 Rosemont Boulevard, Rosemont—La Petite-Patrie, Montréal, QC, H1X 1K3",45.553728,-73.579541,1,exact,514 721-4941,www.actionmaindoeuvre.ca/en,info@actionmaindoeuvre.ca,Montréal Island,"Monday, Tuesday, Thursday and Friday 8h30 to 16h30, Wednesday 8h30 to 20h30","* Individual counselling and employability development.* Job search assistance.* Interview preparation, introduction with employers, if required, and adjustment of the work environment, if necessary.* Job retention assistance.* Negotiation of compensatory measures of financial assistance to employers, if necessary.* Referral to adapted companies.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_d409f72ac8,ACTION MÉDIATION,Medical,Medical,"533 Ontario Street East, Suite 200, Ville-Marie, Montréal, QC, H2L 1N8",45.517742,-73.564525,1,approximate,514 312-7344,sds.social/mediation-sociale/,info@courtier.social,Montréal Island,,"Psychosocial intervention program in various public spaces and semi-private spaces.* Ensures optimal cohabitation of residents, merchants and employees of the visited locations.* Accompaniment and assistance in reinsertion.* Referrals to appropriate resources.* Daily online intervention reports and assistance.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
