visit_group_id,center_id,period_start,period_end,key_need,k_anon_count,severity,population_group,language_need_flag,settlement_need_flag,indigenous_specific_need_flag
VG_000068,CTR_bfb2b404,2026-04-01,2026-06-30,Food Support,19,medium,immigrant_newcomer,True,True,False
VG_000069,CTR_bfb2b404,2026-04-01,2026-06-30,Mental Health,23,low,general,False,False,False
VG_000070,CTR_bbafe4ba,2026-04-01,2026-06-30,Food Support,31,high,general,False,False,False
VG_000071,CTR_064969f6,2026-04-01,2026-06-30,Food Support,10,low,,False,False,False
VG_000072,CTR_064969f6,2026-04-01,2026-06-30,General Support,27,high,general,False,False,False
VG_000073,CTR_064969f6,2026-04-01,2026-06-30,Family Services,11,high,,False,False,False
VG_000074,CTR_a9d2679e,2026-04-01,2026-06-30,Food Support,28,medium,immigrant_newcomer,True,True,False
VG_000075,CTR_a9d2679e,2026-04-01,2026-06-30,General Support,18,low,,False,False,False
VG_000076,CTR_f8b5d07f,2026-04-01,2026-06-30,General Support,15,low,immigrant_newcomer,True,True,False
VG_000077,CTR_f8b5d07f,2026-04-01,2026-06-30,Family Services,13,low,immigrant_newcomer,True,True,False
VG_000078,CTR_f8b5d07f,2026-04-01,2026-06-30,Food Support,16,low,general,False,False,False
VG_000079,CTR_a8174568,2026-04-01,2026-06-30,General Support,17,medium,,False,False,False
VG_000080,CTR_a8174568,2026-04-01,2026-06-30,Family Services,11,high,general,False,False,False
VG_000081,CTR_7f950086,2026-04-01,2026-06-30,Family Services,12,low,,False,False,False
VG_000082,CTR_7f950086,2026-04-01,2026-06-30,Food Support,47,medium,immigrant_newcomer,True,True,False
VG_000083,CTR_ec3e66a8,2026-04-01,2026-06-30,Food Support,25,low,,False,False,False
VG_000084,CTR_ec3e66a8,2026-04-01,2026-06-30,Family Services,10,low,,False,False,False
VG_000085,CTR_68b0e3a0,2026-04-01,2026-06-30,General Support,10,medium,,False,False,False
VG_000086,CTR_68b0e3a0,2026-04-01,2026-06-30,Food Support,14,low,,False,False,False
VG_000087,CTR_9610bd80,2026-04-01,2026-06-30,Food Support,46,medium,general,False,False,False
VG_000088,CTR_9610bd80,2026-04-01,2026-06-30,General Support,13,medium,general,False,False,False
VG_000089,CTR_9610bd80,2026-04-01,2026-06-30,Family Services,18,medium,general,False,False,False
VG_000090,CTR_6805d0ca,2026-04-01,2026-06-30,Family Services,11,high,immigrant_newcomer,True,True,False
VG_000091,CTR_6805d0ca,2026-04-01,2026-06-30,Food Support,33,low,,False,False,False
VG_000092,CTR_6805d0ca,2026-04-01,2026-06-30,General Support,50,low,immigrant_newcomer,True,True,False
VG_000093,CTR_57533edc,2026-04-01,2026-06-30,Housing & Shelter,22,medium,general,False,False,False
VG_000094,CTR_57533edc,2026-04-01,2026-06-30,Settlement Navigation,45,medium,immigrant_newcomer,True,True,False
VG_000095,CTR_57533edc,2026-04-01,2026-06-30,General Support,10,medium,general,False,False,False
VG_000096,CTR_2f7f29c4,2026-04-01,2026-06-30,General Support,45,low,general,False,False,False
VG_000097,CTR_2f7f29c4,2026-04-01,2026-06-30,Family Services,32,medium,indigenous,False,False,True
VG_000098,CTR_2f7f29c4,2026-04-01,2026-06-30,Indigenous Cultural Support,22,low,indigenous,False,False,True
VG_000099,CTR_e7c3062c,2026-04-01,2026-06-30,Food Support,15,low,indigenous,False,False,True
VG_000100,CTR_e7c3062c,2026-04-01,2026-06-30,Family Services,21,low,general,False,False,False
VG_000101,CTR_da434f87,2026-04-01,2026-06-30,Language Access,20,medium,immigrant_newcomer,True,True,False
VG_000102,CTR_b5af990c,2026-04-01,2026-06-30,Family Services,13,low,indigenous,False,False,True
VG_000103,CTR_b5af990c,2026-04-01,2026-06-30,Indigenous-Led Referral,24,medium,indigenous,False,False,True
VG_000104,CTR_b5af990c,2026-04-01,2026-06-30,Housing & Shelter,14,low,general,False,False,False
VG_000105,CTR_b0cd71cd,2026-04-01,2026-06-30,Family Services,9,low,general,False,False,False
VG_000106,CTR_b0cd71cd,2026-04-01,2026-06-30,Legal Aid,8,low,indigenous,False,False,True
VG_000107,CTR_b0cd71cd,2026-04-01,2026-06-30,Indigenous Cultural Support,27,medium,indigenous,False,False,True
VG_000108,CTR_a732358a,2026-04-01,2026-06-30,Employment,14,low,general,False,False,False
VG_000109,CTR_f7f0ffd4,2026-04-01,2026-06-30,Food Support,22,low,indigenous,False,False,True
VG_000110,CTR_f7f0ffd4,2026-04-01,2026-06-30,Legal Aid,13,medium,general,False,False,False
VG_000111,CTR_f7f0ffd4,2026-04-01,2026-06-30,Housing & Shelter,18,medium,indigenous,False,False,True
VG_000112,CTR_a8c4861f,2026-04-01,2026-06-30,Food Support,11,medium,general,False,False,False
VG_000113,CTR_a7d6edc6,2026-04-01,2026-06-30,Indigenous Cultural Support,28,medium,indigenous,False,False,True
VG_000114,CTR_a7d6edc6,2026-04-01,2026-06-30,Indigenous-Led Referral,17,high,indigenous,False,False,True
VG_000115,CTR_e5883b9f,2026-04-01,2026-06-30,Legal Aid,29,high,indigenous,False,False,True
VG_000116,CTR_e5883b9f,2026-04-01,2026-06-30,Indigenous Cultural Support,13,medium,indigenous,False,False,True
VG_000117,CTR_52ed034d,2026-04-01,2026-06-30,Employment,20,medium,indigenous,False,False,True
VG_000118,CTR_8c9dacaa,2026-04-01,2026-06-30,Indigenous Cultural Support,10,low,indigenous,False,False,True
VG_000119,CTR_8c9dacaa,2026-04-01,2026-06-30,Family Services,11,low,general,False,False,False
VG_000120,CTR_8c9dacaa,2026-04-01,2026-06-30,Legal Aid,16,medium,indigenous,False,False,True
VG_000121,CTR_42247a28,2026-04-01,2026-06-30,Food Support,12,medium,indigenous,False,False,True
VG_000122,CTR_42247a28,2026-04-01,2026-06-30,Mental Health,17,low,general,False,False,False
VG_000123,CTR_b7399903,2026-04-01,2026-06-30,Legal Aid,16,high,general,False,False,False
VG_000124,CTR_b7399903,2026-04-01,2026-06-30,General Support,21,low,general,False,False,False
VG_000125,CTR_990b9bb1,2026-04-01,2026-06-30,Indigenous Cultural Support,31,medium,indigenous,False,False,True
VG_000126,CTR_990b9bb1,2026-04-01,2026-06-30,Indigenous-Led Referral,32,medium,indigenous,False,False,True
VG_000127,CTR_990b9bb1,2026-04-01,2026-06-30,Housing & Shelter,50,medium,general,False,False,False
VG_000128,CTR_9dde3ac5,2026-04-01,2026-06-30,Indigenous-Led Referral,33,medium,indigenous,False,False,True
VG_000129,CTR_9dde3ac5,2026-04-01,2026-06-30,Mental Health,25,medium,general,False,False,False
VG_000130,CTR_2b2d4516,2026-04-01,2026-06-30,Family Services,14,high,indigenous,False,False,True
VG_000131,CTR_f5cd184b,2026-04-01,2026-06-30,General Support,17,medium,general,False,False,False
VG_000132,CTR_f5cd184b,2026-04-01,2026-06-30,Housing & Shelter,33,low,general,False,False,False
VG_000133,CTR_b1ba1572,2026-04-01,2026-06-30,Food Support,21,low,general,False,False,False
VG_000134,CTR_b1ba1572,2026-04-01,2026-06-30,Legal Aid,20,high,indigenous,False,False,True
VG_000135,CTR_b1ba1572,2026-04-01,2026-06-30,Family Services,18,high,indigenous,False,False,True
VG_000136,CTR_04424bcf,2026-04-01,2026-06-30,Legal Aid,16,medium,general,False,False,False
VG_000137,CTR_04424bcf,2026-04-01,2026-06-30,General Support,20,high,general,False,False,False
VG_000138,CTR_966fd5f2,2026-04-01,2026-06-30,Food Support,10,low,general,False,False,False
VG_000139,CTR_966fd5f2,2026-04-01,2026-06-30,Mental Health,14,medium,indigenous,False,False,True
VG_000140,CTR_966fd5f2,2026-04-01,2026-06-30,Legal Aid,38,medium,general,False,False,False
VG_000141,CTR_5fcc6a87,2026-04-01,2026-06-30,General Support,17,low,general,False,False,False
VG_000142,CTR_5fcc6a87,2026-04-01,2026-06-30,Indigenous-Led Referral,30,low,indigenous,False,False,True
VG_000143,CTR_824715fa,2026-04-01,2026-06-30,Housing & Shelter,65,medium,,False,False,False
VG_000144,CTR_824715fa,2026-04-01,2026-06-30,Settlement Navigation,48,low,general,False,True,False
VG_000145,CTR_68967eb3,2026-04-01,2026-06-30,Food Support,16,medium,immigrant_newcomer,True,True,False
VG_000146,CTR_489df8cd,2026-04-01,2026-06-30,Food Support,11,medium,general,False,False,False
VG_000147,CTR_489df8cd,2026-04-01,2026-06-30,Language Access,35,low,immigrant_newcomer,True,True,False
VG_000148,CTR_489df8cd,2026-04-01,2026-06-30,Family Services,29,low,,False,False,False
VG_000149,CTR_7b4a3216,2026-04-01,2026-06-30,Mental Health,29,medium,immigrant_newcomer,True,True,False
VG_000150,CTR_7b4a3216,2026-04-01,2026-06-30,Family Services,12,medium,general,False,False,False
VG_000151,CTR_7b4a3216,2026-04-01,2026-06-30,General Support,56,low,general,False,False,False
VG_000152,CTR_77f18e5d,2026-04-01,2026-06-30,Food Support,16,high,immigrant_newcomer,True,True,False
VG_000153,CTR_77f18e5d,2026-04-01,2026-06-30,Employment,11,medium,,False,False,False
VG_000154,CTR_77f18e5d,2026-04-01,2026-06-30,Family Services,24,low,immigrant_newcomer,True,True,False
VG_000155,CTR_257980e9,2026-04-01,2026-06-30,Employment,11,medium,,False,False,False
VG_000156,CTR_257980e9,2026-04-01,2026-06-30,Language Access,12,medium,immigrant_newcomer,True,True,False
VG_000157,CTR_4fa764cd,2026-04-01,2026-06-30,Housing & Shelter,27,high,immigrant_newcomer,True,True,False
VG_000158,CTR_4fa764cd,2026-04-01,2026-06-30,Family Services,27,medium,general,False,False,False
VG_000159,CTR_4fa764cd,2026-04-01,2026-06-30,Language Access,48,low,general,True,False,False
VG_000160,CTR_e6a17e94,2026-04-01,2026-06-30,Housing & Shelter,16,high,immigrant_newcomer,True,True,False
VG_000161,CTR_60d292ad,2026-04-01,2026-06-30,Language Access,9,high,immigrant_newcomer,True,True,False
VG_000162,CTR_60d292ad,2026-04-01,2026-06-30,Food Support,30,high,immigrant_newcomer,True,True,False
VG_000163,CTR_13d0d984,2026-04-01,2026-06-30,Legal Aid,18,medium,general,False,False,False
VG_000164,CTR_13d0d984,2026-04-01,2026-06-30,Settlement Navigation,86,high,immigrant_newcomer,True,True,False
VG_000165,CTR_321c276c,2026-04-01,2026-06-30,Settlement Navigation,16,medium,immigrant_newcomer,True,True,False
VG_000166,CTR_321c276c,2026-04-01,2026-06-30,Mental Health,12,low,,False,False,False
VG_000167,CTR_321c276c,2026-04-01,2026-06-30,Language Access,12,medium,general,True,False,False
VG_000168,CTR_175e8fe5,2026-04-01,2026-06-30,Family Services,12,medium,,False,False,False
VG_000169,CTR_175e8fe5,2026-04-01,2026-06-30,Legal Aid,16,medium,,False,False,False
VG_000170,CTR_175e8fe5,2026-04-01,2026-06-30,Settlement Navigation,14,low,general,False,True,False
VG_000171,CTR_1e38202f,2026-04-01,2026-06-30,Mental Health,36,medium,,False,False,False
VG_000172,CTR_1e38202f,2026-04-01,2026-06-30,Family Services,8,high,general,False,False,False
VG_000173,CTR_756b555e,2026-04-01,2026-06-30,Settlement Navigation,69,low,general,False,True,False
VG_000174,CTR_bb530b3c,2026-04-01,2026-06-30,Employment,12,medium,,False,False,False
VG_000175,CTR_bb530b3c,2026-04-01,2026-06-30,Mental Health,10,high,general,False,False,False
VG_000176,CTR_d0817bad,2026-04-01,2026-06-30,Employment,30,low,general,False,False,False
VG_000177,CTR_d0817bad,2026-04-01,2026-06-30,Mental Health,41,low,general,False,False,False
VG_000178,CTR_d0817bad,2026-04-01,2026-06-30,Language Access,26,high,immigrant_newcomer,True,True,False
VG_000179,CTR_9cdb578e,2026-04-01,2026-06-30,Housing & Shelter,28,low,immigrant_newcomer,True,True,False
VG_000180,CTR_546832e3,2026-04-01,2026-06-30,Legal Aid,11,low,general,False,False,False
VG_000181,CTR_ae31a09f,2026-04-01,2026-06-30,Family Services,34,low,,False,False,False
VG_000182,CTR_08e9aed4,2026-04-01,2026-06-30,Employment,8,low,immigrant_newcomer,True,True,False
VG_000183,CTR_08e9aed4,2026-04-01,2026-06-30,Housing & Shelter,36,low,,False,False,False
VG_000184,CTR_08e9aed4,2026-04-01,2026-06-30,Settlement Navigation,8,low,general,False,True,False
VG_000185,CTR_c4439cca,2026-04-01,2026-06-30,General Support,16,low,,False,False,False
VG_000186,CTR_c4439cca,2026-04-01,2026-06-30,Settlement Navigation,8,high,general,False,True,False
VG_000187,CTR_0b48c254,2026-04-01,2026-06-30,Employment,12,medium,general,False,False,False
VG_000188,CTR_0b48c254,2026-04-01,2026-06-30,Language Access,10,medium,general,True,False,False
VG_000189,CTR_0b48c254,2026-04-01,2026-06-30,General Support,18,low,immigrant_newcomer,True,True,False
VG_000190,CTR_412a82f7,2026-04-01,2026-06-30,Mental Health,21,medium,general,False,False,False
VG_000191,CTR_412a82f7,2026-04-01,2026-06-30,Settlement Navigation,25,high,immigrant_newcomer,True,True,False
VG_000192,CTR_c9a376e9,2026-04-01,2026-06-30,Housing & Shelter,13,low,immigrant_newcomer,True,True,False
VG_000193,CTR_c9a376e9,2026-04-01,2026-06-30,Legal Aid,14,high,,False,False,False
VG_000194,CTR_c5568c53,2026-04-01,2026-06-30,Mental Health,26,low,general,False,False,False
VG_000195,CTR_c5568c53,2026-04-01,2026-06-30,Legal Aid,11,medium,immigrant_newcomer,True,True,False
VG_000196,CTR_72a8f708,2026-04-01,2026-06-30,Settlement Navigation,48,medium,immigrant_newcomer,True,True,False
VG_000197,CTR_72a8f708,2026-04-01,2026-06-30,Housing & Shelter,9,medium,general,False,False,False
VG_000198,CTR_841dc35e,2026-04-01,2026-06-30,Settlement Navigation,14,high,immigrant_newcomer,True,True,False
VG_000199,CTR_841dc35e,2026-04-01,2026-06-30,Food Support,30,medium,general,False,False,False
VG_000200,CTR_eaa7f1ec,2026-04-01,2026-06-30,Mental Health,17,medium,immigrant_newcomer,True,True,False
VG_000201,CTR_e3b625ee,2026-04-01,2026-06-30,Legal Aid,16,medium,general,False,False,False
VG_000202,CTR_e3b625ee,2026-04-01,2026-06-30,Employment,19,low,,False,False,False
VG_000203,CTR_6cfc8c18,2026-04-01,2026-06-30,Housing & Shelter,27,low,immigrant_newcomer,True,True,False
VG_000204,CTR_6cfc8c18,2026-04-01,2026-06-30,General Support,25,medium,,False,False,False
VG_000205,CTR_6cfc8c18,2026-04-01,2026-06-30,Mental Health,18,high,general,False,False,False
VG_000206,CTR_a7735fa4,2026-04-01,2026-06-30,Language Access,22,medium,general,True,False,False
VG_000207,CTR_6f4f505e,2026-04-01,2026-06-30,Legal Aid,10,high,,False,False,False
VG_000208,CTR_6f4f505e,2026-04-01,2026-06-30,Mental Health,11,medium,,False,False,False
VG_000209,CTR_b5b4a01e,2026-04-01,2026-06-30,Legal Aid,15,medium,general,False,False,False
VG_000210,CTR_b5b4a01e,2026-04-01,2026-06-30,Settlement Navigation,19,medium,immigrant_newcomer,True,True,False
VG_000211,CTR_0138d96d,2026-04-01,2026-06-30,Food Support,12,medium,general,False,False,False
VG_000212,CTR_0138d96d,2026-04-01,2026-06-30,Employment,18,medium,general,False,False,False
VG_000213,CTR_e78c49ba,2026-04-01,2026-06-30,Settlement Navigation,17,medium,immigrant_newcomer,True,True,False
VG_000214,CTR_e78c49ba,2026-04-01,2026-06-30,General Support,21,low,immigrant_newcomer,True,True,False
VG_000215,CTR_e50b71ae,2026-04-01,2026-06-30,Family Services,15,medium,general,False,False,False
VG_000216,CTR_e50b71ae,2026-04-01,2026-06-30,Housing & Shelter,24,medium,general,False,False,False
VG_000217,CTR_44e4fcd6,2026-04-01,2026-06-30,Housing & Shelter,13,low,general,False,False,False
VG_000218,CTR_44e4fcd6,2026-04-01,2026-06-30,Family Services,14,high,general,False,False,False
VG_000219,CTR_44e4fcd6,2026-04-01,2026-06-30,Language Access,8,low,general,True,False,False
VG_000220,CTR_9b876e03,2026-04-01,2026-06-30,Family Services,6,medium,general,False,False,False
VG_000221,CTR_9b876e03,2026-04-01,2026-06-30,General Support,22,medium,immigrant_newcomer,True,True,False
VG_000222,CTR_9b876e03,2026-04-01,2026-06-30,Legal Aid,24,medium,immigrant_newcomer,True,True,False
VG_000223,CTR_70a99875,2026-04-01,2026-06-30,Food Support,36,medium,general,False,False,False
VG_000224,CTR_70a99875,2026-04-01,2026-06-30,Settlement Navigation,14,high,general,False,True,False
VG_000225,CTR_70a99875,2026-04-01,2026-06-30,Housing & Shelter,22,low,immigrant_newcomer,True,True,False
VG_000226,CTR_62c6b8f4,2026-04-01,2026-06-30,General Support,24,medium,general,False,False,False
VG_000227,CTR_b36a2783,2026-04-01,2026-06-30,Legal Aid,10,low,general,False,False,False
VG_000228,CTR_b36a2783,2026-04-01,2026-06-30,Food Support,12,high,general,False,False,False
VG_000229,CTR_884fbe55,2026-04-01,2026-06-30,General Support,57,medium,immigrant_newcomer,True,True,False
VG_000230,CTR_884fbe55,2026-04-01,2026-06-30,Housing & Shelter,99,low,general,False,False,False
VG_000231,CTR_884fbe55,2026-04-01,2026-06-30,Settlement Navigation,10,medium,immigrant_newcomer,True,True,False
VG_000232,CTR_9ef70c6f,2026-04-01,2026-06-30,Legal Aid,19,high,general,False,False,False
VG_000233,CTR_9ef70c6f,2026-04-01,2026-06-30,Family Services,32,medium,,False,False,False
VG_000234,CTR_c903dadc,2026-04-01,2026-06-30,Family Services,34,medium,immigrant_newcomer,True,True,False
VG_000235,CTR_c903dadc,2026-04-01,2026-06-30,General Support,12,medium,general,False,False,False
VG_000236,CTR_c903dadc,2026-04-01,2026-06-30,Language Access,20,high,immigrant_newcomer,True,True,False
VG_000237,CTR_099511a0,2026-04-01,2026-06-30,Legal Aid,27,high,general,False,False,False
VG_000238,CTR_a22667f3,2026-04-01,2026-06-30,Language Access,35,medium,immigrant_newcomer,True,True,False
VG_000239,CTR_9ca02025,2026-04-01,2026-06-30,Housing & Shelter,16,medium,general,False,False,False
VG_000240,CTR_9ca02025,2026-04-01,2026-06-30,Language Access,16,high,immigrant_newcomer,True,True,False
VG_000241,CTR_4e6cde73,2026-04-01,2026-06-30,Settlement Navigation,7,medium,immigrant_newcomer,True,True,False
VG_000242,CTR_4e6cde73,2026-04-01,2026-06-30,Food Support,31,medium,general,False,False,False
VG_000243,CTR_4e6cde73,2026-04-01,2026-06-30,Mental Health,22,medium,general,False,False,False
VG_000244,CTR_527c7b95,2026-04-01,2026-06-30,Legal Aid,10,high,general,False,False,False
VG_000245,CTR_de488727,2026-04-01,2026-06-30,Mental Health,20,medium,,False,False,False
VG_000246,CTR_de488727,2026-04-01,2026-06-30,General Support,26,low,general,False,False,False
VG_000247,CTR_e596a223,2026-04-01,2026-06-30,Employment,22,high,general,False,False,False
VG_000248,CTR_e596a223,2026-04-01,2026-06-30,Language Access,58,high,immigrant_newcomer,True,True,False
VG_000249,CTR_e501bed3,2026-04-01,2026-06-30,General Support,10,medium,,False,False,False
VG_000250,CTR_e501bed3,2026-04-01,2026-06-30,Housing & Shelter,16,low,general,False,False,False
VG_000251,CTR_e501bed3,2026-04-01,2026-06-30,Employment,60,low,general,False,False,False
VG_000252,CTR_a4cc6552,2026-04-01,2026-06-30,Settlement Navigation,12,high,general,False,True,False
VG_000253,CTR_1ce79041,2026-04-01,2026-06-30,Family Services,32,low,general,False,False,False
VG_000254,CTR_1ce79041,2026-04-01,2026-06-30,General Support,14,medium,general,False,False,False
VG_000255,CTR_1ce79041,2026-04-01,2026-06-30,Settlement Navigation,18,medium,general,False,True,False
VG_000256,CTR_f2fa7248,2026-04-01,2026-06-30,Settlement Navigation,15,medium,general,False,True,False
VG_000257,CTR_f2fa7248,2026-04-01,2026-06-30,Housing & Shelter,18,high,,False,False,False
VG_000258,CTR_995faa2c,2026-04-01,2026-06-30,Legal Aid,8,high,,False,False,False
VG_000259,CTR_995faa2c,2026-04-01,2026-06-30,Mental Health,15,medium,immigrant_newcomer,True,True,False
VG_000260,CTR_995faa2c,2026-04-01,2026-06-30,Settlement Navigation,15,low,immigrant_newcomer,True,True,False
VG_000261,CTR_e3ecc346,2026-04-01,2026-06-30,Settlement Navigation,23,medium,immigrant_newcomer,True,True,False
VG_000262,CTR_e3ecc346,2026-04-01,2026-06-30,Family Services,8,medium,general,False,False,False
VG_000263,CTR_c6cb39cc,2026-04-01,2026-06-30,Food Support,30,medium,,False,False,False
VG_000264,CTR_c6cb39cc,2026-04-01,2026-06-30,Housing & Shelter,26,high,general,False,False,False
VG_000265,CTR_c6cb39cc,2026-04-01,2026-06-30,Mental Health,17,low,immigrant_newcomer,True,True,False
VG_000266,CTR_839f9ba3,2026-04-01,2026-06-30,Language Access,23,low,general,True,False,False
VG_000267,CTR_839f9ba3,2026-04-01,2026-06-30,Settlement Navigation,24,medium,immigrant_newcomer,True,True,False
VG_000268,CTR_d451dae8,2026-04-01,2026-06-30,Family Services,38,high,general,False,False,False
VG_000269,CTR_d451dae8,2026-04-01,2026-06-30,Employment,35,medium,,False,False,False
